,Name,Party
124,CHIA KIAH HONG  STEVE,National Solidarity Party
125,CHIA SHI LU,People's Action Party
126,CHIA SHI TECK,Independent
127,CHIA THYE POH,Barisan Sosialis
128,CHIA TI LIK,Workers' Party
129,CHIA YANG LOONG,Barisan Sosialis
130,CHIA YECK POH JOACHIM,Liberal Socialist Party
131,CHIAM PAN BOON,Independent
132,CHIAM SEE TONG,Singapore People's Party
133,CHIAM YEOW JUAN JOHN,Workers' Party
134,CHIANG HAI DING,People's Action Party
135,CHIANG SEOK KEONG,Workers' Party
136,CHIDAMBARAM  M. K.,Independent
137,CHIN HARN TONG,People's Action Party
138,CHIN TET YUNG,People's Action Party
139,CHIN TIAN CHOO,Workers' Party
140,CHIO CHENG THUN,Barisan Sosialis
141,CHISTY  SYED MOHAMED ABDUL HAMEED,Independent
142,CHIU WENG HOE  MELVYN,Singaporeans First
143,CHNG BOON ENG,United National Front
144,CHNG CHIN SIAH,National Solidarity Party
145,CHNG HEE KOK,People's Action Party
146,CHNG WEE HONG MICHAEL,National Solidarity Party
147,CHON KOON CHEONG,Workers' Party
148,CHONG CHAM WENG WATSON,Workers' Party
149,CHONG FOH YIN  HENRY,Independent
150,CHONG KEE HIONG,People's Action Party
151,CHONG THUTT PITT,Progressive Party
152,CHONG TUNG SHANG,Workers' Party
153,CHONG WAI FUNG,Singapore Democratic Party
154,CHONG WEE LING,Liberal Socialist Party
155,CHONG WENG CHIEW,People's Action Party
156,CHONG YOU FOOK  CHARLES,People's Action Party
157,CHONG-ARULDOSS YEAN YOONG  JEANNETTE FLORINA,Singapore People's Party
158,CHOO PEY CHING  DESMOND,People's Action Party
159,CHOO WEE KHIANG,People's Action Party
160,CHOO YEOK KOON,Independent
161,CHOONG CHEE KWONG,Workers' Party
162,CHOONG HON HENG,National Solidarity Party
163,CHOR YEOK ENG,People's Action Party
164,CHOW CHIOK HOCK,People's Action Party
165,CHOY KOK WAH,Singapore Alliance
166,CHOY-YONG SU MEI  ELIZABETH,Progressive Party
167,CHUA BOCK KWEE,Liberal Socialist Party
168,CHUA BOON ENG  EDWARD,Workers' Party
169,CHUA CHIN KIAT,Workers' Party
170,CHUA CHWEE HUAT  PETER,Workers' Party
171,CHUA ENG HUAT,Workers' Party
172,CHUA ENG LEONG,People's Action Party
173,CHUA KENG ENG,Liberal Socialist Party
174,CHUA KIM KEE,Liberal Socialist Party
175,CHUA KIM TOH,Independent
176,CHUA KIM WATT,Independent
177,CHUA KIM YEOW,Presidential Office
178,CHUA NGUAN KEY,United Front
179,CHUA SENG KIAN,Liberal Socialist Party
180,CHUA SENG KIM-SEOW PECK LENG,Singapore Alliance
181,CHUA SIAN CHIN,People's Action Party
182,COOK  WILLIAM JAMES,United Front
183,CORERA  JOHN CRUZ,Workers' Party
184,CRABB  CHARLES HARRY,Workers' Party
185,D' CRUZ  ANTHONY,Workers' Party
186,DAMANHURI BIN ABAS,Singapore Democratic Party
187,DARUS BIN SHARIFF,United People's Front
188,DASARATHA RAJ CARALAPATI RAGHAVIAH,Independent
189,DAUD BIN MOHAMED YUNOS,Independent
190,DAVID  DARRYL WILSON,People's Action Party
191,DAVIES  EDWARD VETHANAYAGAM,Labour Party
192,DAVINDER SINGH AMAR SINGH,People's Action Party
193,DE CONCEICAO  JOSEPH FRANCIS,People's Action Party
194,DE GRACIAS  GERTRUDE MAGDELINE,National Solidarity Party
195,DE SILVA  H. A.,Progressive Party
196,DE SOUZA  CHRISTOPHER JAMES,People's Action Party
197,DE WIND  FREDERICK,Workers' Party
198,DESAI  CHIRAG PRAFUL,Singaporeans First
199,DEVAN NAIR  CHENGARA VEETIL,People's Action Party
200,DHANABALAN SUPPIAH,People's Action Party
201,DHARMARAJOO  S. R.,People's Action Party
202,EDE  JOHN ANTHONY MOORE,Progressive Party
203,ELISHA  PAUL,United National Front
204,ENG CHAU SAM,United People's Party
205,ESS  CUTHBERT FRANCIS JOSEPH,United Malays National Organisation
206,EU-CHIA CHENG LI  PHYLLIS,Progressive Party
207,FATIMAH NOR BINTE GOLAM SHAWAL,Malay Union
208,FATIMAH BINTE ABDUL LATEEF,People's Action Party
209,FERNANDEZ  T. R.,Independent
210,FERNANDEZ  VICTOR LOUIS,Labour Front
211,FIRUZ KHAN MOKLIS KHAN,Workers' Party
212,FOK TAI LOY,Singapore Democratic Party
213,FONG CHIN LEONG RENO,National Solidarity Party
214,FONG JEN  ARTHUR,People's Action Party
215,FONG KIM HENG,People's Action Party
216,FONG SIP CHEE  ANDREW,People's Action Party
217,FOO CHEE KENG  CEDRIC,People's Action Party
218,FOO FEW TING,Progressive Party
219,FOO HO FANG,Liberal Socialist Party
220,FOO KOK WAH VICTOR,Singapore Democratic Alliance
221,FOO MEE HAR,People's Action Party
222,FOO MING JIN  DAVID,Singaporeans First
223,FOO SECK GUAN KENNETH,Workers' Party
224,FU HAI YIEN  GRACE,People's Action Party
225,FUNG YIN CHING,Barisan Sosialis
226,GAN ENG GUAN  JOHN,Workers' Party
227,GAN KIM YONG,People's Action Party
228,GAN LAI CHIANG  ANDY,People's Action Party
229,GAN THIAM POH,People's Action Party
230,GANDHI KARUPPIAH AMBALAM,Singapore Democratic Party
231,GAW SIEN KHIAN GEORGE,Progressive Party
232,GAY WAN GUAY,Liberal Socialist Party
233,GHOWS  S. G. MOHAMED,Progressive Party
234,GIAM LAI CHENG,United People's Front
235,GIAM YEAN SONG  GERALD,Workers' Party
236,GNAGURU THAMBOO MYLVAGANAM,Independent
237,GO HUI LENG JASLYN,Singapore Democratic Party
238,GOH CHEE WEE,People's Action Party
239,GOH CHEW CHUA,People's Action Party
240,GOH CHOK TONG,People's Action Party
241,GOH CHOON KANG,People's Action Party
242,GOH HIN SHONG,Singapore People's Alliance
243,GOH HONG KENG,United People's Party
244,GOH HOOD KIAT,Independent
